Lượt,Số,Cược,Cửa,Kết quả,Số dư
Web,98,10000,2,THẮNG,1010000
Web,35,10000,1,THUA,1000000
Web,60,10000,2,THẮNG,1010000
Web,04,1000000,1,THẮNG,2010000
Web,70,1000000,1,THUA,1010000
Web,42,1000000,1,THUA,10000
Web,60,10000,1,THUA,0
Web,71,0,1,THUA,0
Web,02,0,1,THẮNG,0
Web,29,0,1,THẮNG,0
Web,98,0,1,THUA,0
Web,21,0,1,THẮNG,0
Web,48,0,1,THẮNG,0
Web,54,0,1,THUA,0
Web,11,0,1,THẮNG,0
Web,41,0,1,THUA,0
Web,43,0,1,THUA,0
Web,92,0,1,THẮNG,0
Web,51,0,1,THUA,0
Web,82,0,1,THẮNG,0
Web,69,0,1,THUA,0
